Supplementary Table 1. Whole-genome long- and short-read DNA sequencing data.,,,,,,,,,
,,,,,,,,,
Accession,Acc_ID,Country,Latitude,Longitude,Long-read technology,Long-read size (Gb),"Long-read (N50, bp)",Long-read depths,Short-read depths
Db-1,132AV,Germany,50.28,8.36,Pacbio HiFi,6.56,15504,52,30
Est-0,71AV,Estonia,59.45,24.76,Pacbio HiFi,4.37,14876,34,31
Kas-1,108AV,India,34.2,76.83,Pacbio HiFi,4.17,15807,33,28
Lu-1,54AV,Sweden,55.72,13.19,Pacbio HiFi,9.22,17516,73,31
Mh-0,175AV,Poland,52.24,21.01,Pacbio HiFi,8.53,16640,67,32
Mr-0,148AV,Italy,44.50,9.50,Pacbio HiFi,6.73,16675,53,26
Ms-0,93AV,Russia,55.78,37.62,Pacbio HiFi,4.12,17230,32,29
Pa-1,50AV,Italy,38.12,13.36,Pacbio HiFi,7.55,17053,60,28
Co-4,174AV,Portugal,40.23,-8.43,Pacbio HiFi,5.39,16501,42,29
Est-1,425AV,Estonia,58.30 ,25.3,Pacbio HiFi,4.35,16785,34,28
Had-6b,545AV,Lebanon,33.92,35.7,Pacbio HiFi,4.30,16659,34,31
Hiroshima,254AV,Japan,34.51,133.36,Pacbio HiFi,6.56,17327,52,28
Ishikawa,253AV,Japan,36.66,136.65,Pacbio HiFi,4.40,16898,34,26
Kyr-1,538AV,Kyrgyzstan,40.05,72.6,Pacbio HiFi,4.05,17566,32,26
Nov-02,341AV,Russia,51.75,80.83,Pacbio HiFi,3.88,15488,30,27
Rld-2,229AV,Russia,56.27,34.33,Pacbio HiFi,4.35,17302,34,23
Abd-0,177AV,UK,57.15,-2.22,Pacbio HiFi,7.42,15347,59,29
Altai-5,548AV,China,47.76,88.4,Pacbio HiFi,6.02,14936,47,31
Kar-1,531AV,Kyrgyzstan,42.3,74.37,Pacbio HiFi,5.73,18353,45,31
RRS10,361AV,USA,41.56 ,-86.43 ,Pacbio HiFi,4.73,18024,37,31
Rubezhnoe-1,231AV,Ukraine,50.47,30.52,Pacbio HiFi,4.72,15594,37,32
Sah-0,233AV,Spain,40.44,-3.7,Pacbio HiFi,5.48,15571,43,28
Sus-1,533AV,Kyrgyzstan,42.19,73.41,Pacbio HiFi,5.43,15699,43,27
Zal-1,536AV,Kyrgyzstan,42.8,76.35,Pacbio HiFi,3.81,16279,30,28
Edi-0,83AV,UK,55.96,-3.19,Pacbio HiFi,4.76,15523,37,30
Elh-2,N799925,Morocco,31.47,-7.41,Pacbio HiFi,3.74,15442,29,31
Etna-2,703AV,Italy,37.7,14.98,Pacbio HiFi,4.00,16009,31,27
N13,266AV,Russia,62.13,34.02,Pacbio HiFi,4.91,14787,39,32
No-0,49AV,Germany,51.07,13.3,Pacbio HiFi,4.22,15558,33,29
Qar-8a,549AV,Lebanon,34.1,35.84,Pacbio HiFi,4.47,16050,35,32
Sf-2,508AV,Spain,41.78,3.03,Pacbio HiFi,6.31,16690,50,33
Tul-0,240AV,USA,43.27,-85.26,Pacbio HiFi,3.82,16596,30,32
Ice-1,NA,Iceland,64.92,-18.48,Pacbio HiFi,5.71,14926,45,31
Rab-R1,NA,Portugal,32.75,-17.13,Pacbio HiFi,7.88,15296,62,26
St-0,62AV,Sweden,59.34,18.06,Pacbio HiFi,6.35,15557,50,30
Stw-0,92AV,Russia,52.84,36.92,Pacbio HiFi,4.91,16830,39,30
Tanz-1,N75719,Tanzania,-2.87,36.12,Pacbio HiFi,6.80,15320,54,25
Taz-0,N799913,Morocco,34.09,-4.10,Pacbio HiFi,5.08,15623,40,28
ws-4,530AV,Belarus,53.92,27.57,Pacbio HiFi,7.45,15445,59,27
Zin9,N799909,Morocco,35.45,-5.43,Pacbio HiFi,4.80,16394,38,24
Pyl-1,8AV,France,44.59,-1.24,Pacbio HiFi,4.36,16635,34,30
Valsi-1,681AV,Italy,40.18,16.45,Pacbio HiFi,9.13,16220,72,31
Geg-14,589AV,Armenia,40.14,44.82,Pacbio HiFi,3.59,17402,28,30
Dog-4,581AV,Turkey,38.30,42.22,Pacbio HiFi,4.58,15889,36,30
Nemrut-1,608AV,Turkey,38.64,42.24,Pacbio HiFi,6.23,16323,49,30
Istisu-1,586AV,Azerbaijan,38.98,48.56,Pacbio HiFi,5.58,18614,44,27
Toufl-1,646AV,Morocco,31.47,-7.42,Pacbio HiFi,5.49,18477,43,26
Anz-0,704AV,Iran,37.50,49.37,Pacbio HiFi,6.49,17160,51,29
Are-1,635AV,Portugal,32.74,-16.93,Oxford Nanopore,6.34,25980,50,83
Are-2,636AV,Portugal,32.74,-16.93,Oxford Nanopore,9.07,28024,72,61
Are-6,637AV,Portugal,32.74,-16.93,Oxford Nanopore,5.86,23662,46,58
Are-10,641AV,Portugal,32.74,-16.93,Oxford Nanopore,13.15,25203,104,55
Bay-0,41AV,Germany,49.95,11.57,Oxford Nanopore,8.96,26123,71,80
Bla-1,76AV,Spain,41.68,2.79,Oxford Nanopore,9.73,23021,77,57
Blh-1,180AV,Czech Republic,48.30,19.85,Oxford Nanopore,7.48,24409,59,86
Bur-0,172AV,Ireland,53.87,-9.39,Oxford Nanopore,8.18,25990,65,78
Cant-1,599AV,Spain,41.24,-3.00,Oxford Nanopore,6.66,23339,52,75
Can-0,163AV,Spain,29.21,-13.48,Oxford Nanopore,7.72,25666,61,58
Col-0,186AV,Poland,52.74,15.24,Oxford Nanopore,5.66,22448,45,66
Ct-1,162AV,Italy,37.51,15.09,Oxford Nanopore,8.34,25191,66,85
Cvi-0,166AV,Portugal,15.06,-23.73,Oxford Nanopore,10.12,25729,80,61
Ge-0,101AV,Switzerland,46.21,6.14,Oxford Nanopore,10.76,24556,85,57
Ita-0,157AV,Morocco,34.09,-4.20,Oxford Nanopore,7.13,22176,56,76
Jea,25AV,France,43.69,7.33,Oxford Nanopore,8.86,26437,70,74
Kz-9,403AV,Kazakhstan,49.50,73.10,Oxford Nanopore,8.69,17489,69,61
Nok-1,95AV,Netherlands,52.24,4.45,Oxford Nanopore,14.79,23619,117,84
Oy-0,224AV,Norway,60.39,6.19,Oxford Nanopore,5.40,22492,42,68
Ri-0,160AV,Canada,49.18,-123.13,Oxford Nanopore,6.85,27110,54,81
Shahdara,236AV,Tajikistan,38.59,68.79,Oxford Nanopore,6.88,23924,54,69
Shigu-2,650AV,Russia,53.33,49.48,Oxford Nanopore,7.74,22955,61,85
Tsu-0,91AV,Japan,34.73,136.50,Oxford Nanopore,11.92,26082,94,55
Yo-0,250AV,USA,37.75,-119.58,Oxford Nanopore,8.22,25858,65,61
