Assembly_ID,Accession_Name,Accession_ID,Accession_alias,Original_Assembly_ID,Version,QC_pipeline,Final_assembly,TMP_comments,CSnumber,Latitude,Longitude,Altitude,Gaps,Sum,Largest,Pangenome_reference,Primary_Sequencing_Technology,Assembler,Individual_or_pool,Latest_released_Year,Published,Publication_First_author,Publication_year,Publication_Journal,Publication_DOI,Publication_URL,Best_unique_assembly
100000,Col-0,6909,TAIR10,,1.0,,False,,,,,,165.0,,,no,,,Pool,,yes,,,,,,0.0
100001,Col-0,6909,TAIR12 version 1,100001.0,1.0,,False,,,,,,0.0,,,no,HiFi,,Pool,2023.0,no,TAIR,,unpublished,,,0.0
100002,Col-0,6909,TAIR12 version 2,100001.0,2.0,,True,,,,,,0.0,,,yes,HiFi,,Pool,2023.0,no,TAIR,,unpublished,,,1.0
100003,Ler-0,7213,,,,,False,Not avaiable,,,,,,,,no,RS II,,,,yes,Berlin,2015.0,NatBiotechnol,10.1038/nbt.3238,https://www.nature.com/articles/nbt.3238,
100004,F1 (Col-0/Cvi-0),6909/6911,,,,,,,,,,,,,,no,,,,,yes,Chin,2016.0,NatMethods,10.1038/nmeth.4035,https://www.nature.com/articles/nmeth.4035,
100005,Ler-0,7213,,,1.0,,False,,,,,,425.0,,,no,RS II,,Pool,2016.0,yes,Zapata,2016.0,PNAS,10.1073/pnas.1607532113,https://www.pnas.org/doi/full/10.1073/pnas.1607532113,
100006,KBS-Mac-74,1741,,,,,False,Not avaiable,,42.405,-85.398,,,,,no,CLR,,,2018.0,yes,Michael,2018.0,NatCommun,10.1038/s41467-018-03016-2,https://www.nature.com/articles/s41467-018-03016-2,
100007,KBS-Mac-74,1741,,,,,False,Not avaiable,,42.405,-85.398,,,,,no,ONT,miniasm,,2018.0,yes,Michael,2018.0,NatCommun,10.1038/s41467-018-03016-2,https://www.nature.com/articles/s41467-018-03016-2,
100008,Nd-1,6942,,,1.0,,,,,,,,64.0,,,no,RS II,Canu_v1.4,Pool,2019.0,yes,Pucker,2019.0,PLoSOne,10.1371/journal.pone.0216233,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216233,
100009,Ler-0,7213,,100009.0,1.0,,False,,,,,,61.0,,,no,CLR,Falcon,Pool,2019.0,yes,Goel,2019.0,GenomeBiol,10.1186/s13059-019-1911-0,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1911-0,
